object_id,x_coord,y_coord
203,104.9398153,11.5488618
204,104.9400337,11.5509621
205,104.9402106,11.5474011
206,104.9407687,11.549158
207,104.9410199,11.5464028
208,104.9423462,11.5513164
209,104.9406845,11.5533214
210,104.9423473,11.5514049
211,104.942442,11.5555566
212,104.9406134,11.5553957
213,104.9406168,11.5553006
214,104.9423861,11.5553939
215,104.9423857,11.5552997
216,104.9424241,11.5533259
217,104.9421422,11.5493209
218,104.9418324,11.547945
219,104.9417636,11.5477688
220,104.942384,11.5511666
221,104.9424509,11.5513159
222,104.9424518,11.5514045
223,104.9424342,11.5548413
224,104.9424815,11.5553938
225,104.942657,11.5514036
226,104.9438967,11.5481032
