object id,longitude,latitude
1,104.9252279,11.5516131
2,104.9252589,11.5589784
3,104.9254604,11.5582742
4,104.9256655,11.5487043
5,104.925771,11.5560094
6,104.9260768,11.5561361
7,104.9261169,11.5559884
8,104.926187,11.5555337
9,104.9262803,11.5549097
10,104.9263782,11.55429
11,104.9264683,11.5536523
12,104.926558,11.5530525
13,104.92665,11.5524378
14,104.9267406,11.5518325
15,104.9268475,11.5511183
16,104.9270615,11.5496873
17,104.9271754,11.5489264
18,104.9272913,11.5595381
19,104.9278118,11.5567352
20,104.9278195,11.5432834
21,104.9279016,11.5560409
22,104.927907,11.544217
23,104.9279156,11.544306
24,104.9279331,11.5568474
25,104.9280149,11.5559926
26,104.9282668,11.547452
27,104.9284158,11.5490575
28,104.9284875,11.5568094
29,104.9284892,11.5498481
30,104.9287545,11.5527071
31,104.9287847,11.553033
32,104.9288127,11.553334
33,104.9288741,11.5539965
34,104.9291493,11.5441726
35,104.9293535,11.5442713
36,104.9306194,11.545865
37,104.9307806,11.5561566
38,104.9309277,11.5569958
39,104.9312367,11.5486491
40,104.9313721,11.5495466
41,104.9315819,11.5505218
42,104.9317234,11.5509009
43,104.9323851,11.5449504
44,104.9324938,11.5449142
45,104.9331297,11.5568663
46,104.9331348,11.5562175
47,104.9331348,11.5582128
48,104.93353,11.55677
49,104.9349135,11.5568997
50,104.9349273,11.5563235
51,104.9349591,11.5569499
52,104.9352802,11.5524332
53,104.935354,11.5440923
54,104.9353637,11.5534938
55,104.9354209,11.5562861
56,104.9354298,11.5569395
57,104.9354592,11.5569183
58,104.935465,11.5563272
59,104.9358411,11.5452885
60,104.9358676,11.545341
61,104.9363779,11.5493496
62,104.9366039,11.5439939
63,104.9368272,11.5440176
64,104.9378107,11.556383
65,104.9380493,11.5510899
66,104.938577,11.5564012
67,104.9387049,11.5482979
68,104.9388769,11.5483973
69,104.9392372,11.5486017
70,104.9398741,11.5452229
71,104.9399628,11.5452952
72,104.9402615,11.5514143
73,104.9405564,11.5570214
74,104.9406134,11.5553957
75,104.9406168,11.5553006
76,104.9406845,11.5533214
77,104.9410199,11.5464028
78,104.9417636,11.5477688
79,104.9423462,11.5513164
80,104.9423473,11.5514049
81,104.942384,11.5511666
82,104.9423861,11.5553939
83,104.9424241,11.5533259
84,104.9424342,11.5548413
85,104.9424509,11.5513159
86,104.9424518,11.5514045
